city,years,area,rooms,floor,building_type,heating_type,installation,price
Šiaulių m.,2016,42,2,3,Centriniskolektorinis,Kita,Įrengtas,65500
Klaipėdos m.,1980,"35,38",1,6,Centriniskolektorinis,Mūrinis,Įrengtas,63500
Palangos m.,2014,74,2,2,Dujinis,Mūrinis,Įrengtas,112000
Klaipėdos m.,1976,"34,36",2,4,Centrinis,Mūrinis,Įrengtas,35000
Kelmės m.,1976,"34,52",1,5,Kitas,Mūrinis,Įrengtas,17500
Klaipėdos m.,1976,78,3,1,Centriniskolektorinis,Mūrinis,Įrengtas,99000
Klaipėdos m.,1969,52,2,5,Centrinis,Mūrinis,Įrengtas,59000
Naujosios Akmenės m.,1971,48,2,4,Centrinis,Blokinis,Įrengtas,15500
Telšių m.,1972,64,3,5,Centriniskolektorinis,Mūrinis,Įrengtas,55000
Panevėžio m.,1967,"44,36",2,4,Centrinis,Blokinis,Įrengtas,38900
Jonavos m.,1978,52,2,2,Centrinis,Blokinis,Įrengtas,55000
Kauno m.,1963,44,2,4,Centrinis,Mūrinis,Įrengtas,68000
Klaipėdos m.,1964,47,2,3,Centrinis,Mūrinis,Įrengtas,49900
Šukaičių k.,2007,120,3,1,Geoterminis,Mūrinis,Įrengtas,67000
Klaipėdos m.,1975,12,1,3,Centrinis,Mūrinis,Įrengtas,17900
Klaipėdos m.,1989,78,3,5,Centrinis,Blokinis,Įrengtas,97000
Klaipėdos m.,1990,79,3,5,Centrinis,Blokinis,Įrengtas,74999
Šiaulių m.,1977,38,2,2,Centrinis,Blokinis,Įrengtas,56200
Naujosios Akmenės m.,1961,"43,64",2,2,Centrinis,Mūrinis,Įrengtas,12900
Rokiškio m.,1978,67,3,3,Centrinis,Blokinis,Įrengtas,54000
Klaipėdos m.,1994,113,4,3,Centriniskolektorinis,Mūrinis,Įrengtas,129000
Mažeikių m.,1986,51,2,3,Centrinis,Blokinis,Įrengtas,43000
Klaipėdos m.,1970,46,2,2,Centrinis,Mūrinis,Įrengtas,65000
Klaipėdos m.,1960,76,3,2,Centrinis,Mūrinis,Įrengtas,170000
Šiaulių m.,2016,42,2,3,Centriniskolektorinis,Kita,Įrengtas,65500
Klaipėdos m.,1980,"35,38",1,6,Centriniskolektorinis,Mūrinis,Įrengtas,63500
Palangos m.,2014,74,2,2,Dujinis,Mūrinis,Įrengtas,112000
Klaipėdos m.,1976,"34,36",2,4,Centrinis,Mūrinis,Įrengtas,35000
Kelmės m.,1976,"34,52",1,5,Kitas,Mūrinis,Įrengtas,17500
Klaipėdos m.,1976,78,3,1,Centriniskolektorinis,Mūrinis,Įrengtas,99000
Klaipėdos m.,1969,52,2,5,Centrinis,Mūrinis,Įrengtas,59000
Naujosios Akmenės m.,1971,48,2,4,Centrinis,Blokinis,Įrengtas,15500
Telšių m.,1972,64,3,5,Centriniskolektorinis,Mūrinis,Įrengtas,55000
Panevėžio m.,1967,"44,36",2,4,Centrinis,Blokinis,Įrengtas,38900
Jonavos m.,1978,52,2,2,Centrinis,Blokinis,Įrengtas,55000
Kauno m.,1963,44,2,4,Centrinis,Mūrinis,Įrengtas,68000
Klaipėdos m.,1964,47,2,3,Centrinis,Mūrinis,Įrengtas,49900
Šukaičių k.,2007,120,3,1,Geoterminis,Mūrinis,Įrengtas,67000
Klaipėdos m.,1975,12,1,3,Centrinis,Mūrinis,Įrengtas,17900
Klaipėdos m.,1989,78,3,5,Centrinis,Blokinis,Įrengtas,97000
Klaipėdos m.,1990,79,3,5,Centrinis,Blokinis,Įrengtas,74999
Šiaulių m.,1977,38,2,2,Centrinis,Blokinis,Įrengtas,56200
Naujosios Akmenės m.,1961,"43,64",2,2,Centrinis,Mūrinis,Įrengtas,12900
Rokiškio m.,1978,67,3,3,Centrinis,Blokinis,Įrengtas,54000
Klaipėdos m.,1994,113,4,3,Centriniskolektorinis,Mūrinis,Įrengtas,129000
Mažeikių m.,1986,51,2,3,Centrinis,Blokinis,Įrengtas,43000
Klaipėdos m.,1970,46,2,2,Centrinis,Mūrinis,Įrengtas,65000
Klaipėdos m.,1960,76,3,2,Centrinis,Mūrinis,Įrengtas,170000
Šiaulių m.,2016,42,2,3,Centriniskolektorinis,Kita,Įrengtas,65500
Klaipėdos m.,1980,"35,38",1,6,Centriniskolektorinis,Mūrinis,Įrengtas,63500
Palangos m.,2014,74,2,2,Dujinis,Mūrinis,Įrengtas,112000
Klaipėdos m.,1976,"34,36",2,4,Centrinis,Mūrinis,Įrengtas,35000
Kelmės m.,1976,"34,52",1,5,Kitas,Mūrinis,Įrengtas,17500
Klaipėdos m.,1976,78,3,1,Centriniskolektorinis,Mūrinis,Įrengtas,99000
Klaipėdos m.,1969,52,2,5,Centrinis,Mūrinis,Įrengtas,59000
Naujosios Akmenės m.,1971,48,2,4,Centrinis,Blokinis,Įrengtas,15500
Telšių m.,1972,64,3,5,Centriniskolektorinis,Mūrinis,Įrengtas,55000
Panevėžio m.,1967,"44,36",2,4,Centrinis,Blokinis,Įrengtas,38900
Jonavos m.,1978,52,2,2,Centrinis,Blokinis,Įrengtas,55000
Kauno m.,1963,44,2,4,Centrinis,Mūrinis,Įrengtas,68000
Klaipėdos m.,1964,47,2,3,Centrinis,Mūrinis,Įrengtas,49900
Šukaičių k.,2007,120,3,1,Geoterminis,Mūrinis,Įrengtas,67000
Klaipėdos m.,1975,12,1,3,Centrinis,Mūrinis,Įrengtas,17900
Klaipėdos m.,1989,78,3,5,Centrinis,Blokinis,Įrengtas,97000
Klaipėdos m.,1990,79,3,5,Centrinis,Blokinis,Įrengtas,74999
Šiaulių m.,1977,38,2,2,Centrinis,Blokinis,Įrengtas,56200
Naujosios Akmenės m.,1961,"43,64",2,2,Centrinis,Mūrinis,Įrengtas,12900
Rokiškio m.,1978,67,3,3,Centrinis,Blokinis,Įrengtas,54000
Klaipėdos m.,1994,113,4,3,Centriniskolektorinis,Mūrinis,Įrengtas,129000
Mažeikių m.,1986,51,2,3,Centrinis,Blokinis,Įrengtas,43000
Klaipėdos m.,1970,46,2,2,Centrinis,Mūrinis,Įrengtas,65000
Klaipėdos m.,1960,76,3,2,Centrinis,Mūrinis,Įrengtas,170000
Šiaulių m.,2016,42,2,3,Centriniskolektorinis,Kita,Įrengtas,65500
Klaipėdos m.,1980,"35,38",1,6,Centriniskolektorinis,Mūrinis,Įrengtas,63500
Palangos m.,2014,74,2,2,Dujinis,Mūrinis,Įrengtas,112000
Klaipėdos m.,1976,"34,36",2,4,Centrinis,Mūrinis,Įrengtas,35000
Kelmės m.,1976,"34,52",1,5,Kitas,Mūrinis,Įrengtas,17500
Klaipėdos m.,1976,78,3,1,Centriniskolektorinis,Mūrinis,Įrengtas,99000
Klaipėdos m.,1969,52,2,5,Centrinis,Mūrinis,Įrengtas,59000
Naujosios Akmenės m.,1971,48,2,4,Centrinis,Blokinis,Įrengtas,15500
Telšių m.,1972,64,3,5,Centriniskolektorinis,Mūrinis,Įrengtas,55000
Panevėžio m.,1967,"44,36",2,4,Centrinis,Blokinis,Įrengtas,38900
Jonavos m.,1978,52,2,2,Centrinis,Blokinis,Įrengtas,55000
Kauno m.,1963,44,2,4,Centrinis,Mūrinis,Įrengtas,68000
Klaipėdos m.,1964,47,2,3,Centrinis,Mūrinis,Įrengtas,49900
Šukaičių k.,2007,120,3,1,Geoterminis,Mūrinis,Įrengtas,67000
Klaipėdos m.,1975,12,1,3,Centrinis,Mūrinis,Įrengtas,17900
Klaipėdos m.,1989,78,3,5,Centrinis,Blokinis,Įrengtas,97000
Klaipėdos m.,1990,79,3,5,Centrinis,Blokinis,Įrengtas,74999
Šiaulių m.,1977,38,2,2,Centrinis,Blokinis,Įrengtas,56200
Naujosios Akmenės m.,1961,"43,64",2,2,Centrinis,Mūrinis,Įrengtas,12900
Rokiškio m.,1978,67,3,3,Centrinis,Blokinis,Įrengtas,54000
Klaipėdos m.,1994,113,4,3,Centriniskolektorinis,Mūrinis,Įrengtas,129000
Mažeikių m.,1986,51,2,3,Centrinis,Blokinis,Įrengtas,43000
Klaipėdos m.,1970,46,2,2,Centrinis,Mūrinis,Įrengtas,65000
Klaipėdos m.,1960,76,3,2,Centrinis,Mūrinis,Įrengtas,170000
Šiaulių m.,2016,42,2,3,Centriniskolektorinis,Kita,Įrengtas,65500
Klaipėdos m.,1980,"35,38",1,6,Centriniskolektorinis,Mūrinis,Įrengtas,63500
Palangos m.,2014,74,2,2,Dujinis,Mūrinis,Įrengtas,112000
Klaipėdos m.,1976,"34,36",2,4,Centrinis,Mūrinis,Įrengtas,35000
Kelmės m.,1976,"34,52",1,5,Kitas,Mūrinis,Įrengtas,17500
Klaipėdos m.,1976,78,3,1,Centriniskolektorinis,Mūrinis,Įrengtas,99000
Klaipėdos m.,1969,52,2,5,Centrinis,Mūrinis,Įrengtas,59000
Naujosios Akmenės m.,1971,48,2,4,Centrinis,Blokinis,Įrengtas,15500
Telšių m.,1972,64,3,5,Centriniskolektorinis,Mūrinis,Įrengtas,55000
Panevėžio m.,1967,"44,36",2,4,Centrinis,Blokinis,Įrengtas,38900
Jonavos m.,1978,52,2,2,Centrinis,Blokinis,Įrengtas,55000
Kauno m.,1963,44,2,4,Centrinis,Mūrinis,Įrengtas,68000
Klaipėdos m.,1964,47,2,3,Centrinis,Mūrinis,Įrengtas,49900
Šukaičių k.,2007,120,3,1,Geoterminis,Mūrinis,Įrengtas,67000
Klaipėdos m.,1975,12,1,3,Centrinis,Mūrinis,Įrengtas,17900
Klaipėdos m.,1989,78,3,5,Centrinis,Blokinis,Įrengtas,97000
Klaipėdos m.,1990,79,3,5,Centrinis,Blokinis,Įrengtas,74999
Šiaulių m.,1977,38,2,2,Centrinis,Blokinis,Įrengtas,56200
Naujosios Akmenės m.,1961,"43,64",2,2,Centrinis,Mūrinis,Įrengtas,12900
Rokiškio m.,1978,67,3,3,Centrinis,Blokinis,Įrengtas,54000
Klaipėdos m.,1994,113,4,3,Centriniskolektorinis,Mūrinis,Įrengtas,129000
Mažeikių m.,1986,51,2,3,Centrinis,Blokinis,Įrengtas,43000
Klaipėdos m.,1970,46,2,2,Centrinis,Mūrinis,Įrengtas,65000
Klaipėdos m.,1960,76,3,2,Centrinis,Mūrinis,Įrengtas,170000
Šiaulių m.,2016,42,2,3,Centriniskolektorinis,Kita,Įrengtas,65500
Klaipėdos m.,1980,"35,38",1,6,Centriniskolektorinis,Mūrinis,Įrengtas,63500
Palangos m.,2014,74,2,2,Dujinis,Mūrinis,Įrengtas,112000
Klaipėdos m.,1976,"34,36",2,4,Centrinis,Mūrinis,Įrengtas,35000
Kelmės m.,1976,"34,52",1,5,Kitas,Mūrinis,Įrengtas,17500
Klaipėdos m.,1976,78,3,1,Centriniskolektorinis,Mūrinis,Įrengtas,99000
Klaipėdos m.,1969,52,2,5,Centrinis,Mūrinis,Įrengtas,59000
Naujosios Akmenės m.,1971,48,2,4,Centrinis,Blokinis,Įrengtas,15500
Telšių m.,1972,64,3,5,Centriniskolektorinis,Mūrinis,Įrengtas,55000
Panevėžio m.,1967,"44,36",2,4,Centrinis,Blokinis,Įrengtas,38900
Jonavos m.,1978,52,2,2,Centrinis,Blokinis,Įrengtas,55000
Kauno m.,1963,44,2,4,Centrinis,Mūrinis,Įrengtas,68000
Klaipėdos m.,1964,47,2,3,Centrinis,Mūrinis,Įrengtas,49900
Šukaičių k.,2007,120,3,1,Geoterminis,Mūrinis,Įrengtas,67000
Klaipėdos m.,1975,12,1,3,Centrinis,Mūrinis,Įrengtas,17900
Klaipėdos m.,1989,78,3,5,Centrinis,Blokinis,Įrengtas,97000
Klaipėdos m.,1990,79,3,5,Centrinis,Blokinis,Įrengtas,74999
Šiaulių m.,1977,38,2,2,Centrinis,Blokinis,Įrengtas,56200
Naujosios Akmenės m.,1961,"43,64",2,2,Centrinis,Mūrinis,Įrengtas,12900
Rokiškio m.,1978,67,3,3,Centrinis,Blokinis,Įrengtas,54000
Klaipėdos m.,1994,113,4,3,Centriniskolektorinis,Mūrinis,Įrengtas,129000
Mažeikių m.,1986,51,2,3,Centrinis,Blokinis,Įrengtas,43000
Klaipėdos m.,1970,46,2,2,Centrinis,Mūrinis,Įrengtas,65000
Klaipėdos m.,1960,76,3,2,Centrinis,Mūrinis,Įrengtas,170000
Šiaulių m.,2016,42,2,3,Centriniskolektorinis,Kita,Įrengtas,65500
Klaipėdos m.,1980,"35,38",1,6,Centriniskolektorinis,Mūrinis,Įrengtas,63500
Palangos m.,2014,74,2,2,Dujinis,Mūrinis,Įrengtas,112000
Klaipėdos m.,1976,"34,36",2,4,Centrinis,Mūrinis,Įrengtas,35000
Kelmės m.,1976,"34,52",1,5,Kitas,Mūrinis,Įrengtas,17500
Klaipėdos m.,1976,78,3,1,Centriniskolektorinis,Mūrinis,Įrengtas,99000
Klaipėdos m.,1969,52,2,5,Centrinis,Mūrinis,Įrengtas,59000
Naujosios Akmenės m.,1971,48,2,4,Centrinis,Blokinis,Įrengtas,15500
Telšių m.,1972,64,3,5,Centriniskolektorinis,Mūrinis,Įrengtas,55000
Panevėžio m.,1967,"44,36",2,4,Centrinis,Blokinis,Įrengtas,38900
Jonavos m.,1978,52,2,2,Centrinis,Blokinis,Įrengtas,55000
Kauno m.,1963,44,2,4,Centrinis,Mūrinis,Įrengtas,68000
Klaipėdos m.,1964,47,2,3,Centrinis,Mūrinis,Įrengtas,49900
Šukaičių k.,2007,120,3,1,Geoterminis,Mūrinis,Įrengtas,67000
Klaipėdos m.,1975,12,1,3,Centrinis,Mūrinis,Įrengtas,17900
Klaipėdos m.,1989,78,3,5,Centrinis,Blokinis,Įrengtas,97000
Klaipėdos m.,1990,79,3,5,Centrinis,Blokinis,Įrengtas,74999
Šiaulių m.,1977,38,2,2,Centrinis,Blokinis,Įrengtas,56200
Naujosios Akmenės m.,1961,"43,64",2,2,Centrinis,Mūrinis,Įrengtas,12900
Rokiškio m.,1978,67,3,3,Centrinis,Blokinis,Įrengtas,54000
Klaipėdos m.,1994,113,4,3,Centriniskolektorinis,Mūrinis,Įrengtas,129000
Mažeikių m.,1986,51,2,3,Centrinis,Blokinis,Įrengtas,43000
Klaipėdos m.,1970,46,2,2,Centrinis,Mūrinis,Įrengtas,65000
Klaipėdos m.,1960,76,3,2,Centrinis,Mūrinis,Įrengtas,170000
Šiaulių m.,2016,42,2,3,Centriniskolektorinis,Kita,Įrengtas,65500
Klaipėdos m.,1980,"35,38",1,6,Centriniskolektorinis,Mūrinis,Įrengtas,63500
Palangos m.,2014,74,2,2,Dujinis,Mūrinis,Įrengtas,112000
Klaipėdos m.,1976,"34,36",2,4,Centrinis,Mūrinis,Įrengtas,35000
Kelmės m.,1976,"34,52",1,5,Kitas,Mūrinis,Įrengtas,17500
Klaipėdos m.,1976,78,3,1,Centriniskolektorinis,Mūrinis,Įrengtas,99000
Klaipėdos m.,1969,52,2,5,Centrinis,Mūrinis,Įrengtas,59000
Naujosios Akmenės m.,1971,48,2,4,Centrinis,Blokinis,Įrengtas,15500
Telšių m.,1972,64,3,5,Centriniskolektorinis,Mūrinis,Įrengtas,55000
Panevėžio m.,1967,"44,36",2,4,Centrinis,Blokinis,Įrengtas,38900
Jonavos m.,1978,52,2,2,Centrinis,Blokinis,Įrengtas,55000
Kauno m.,1963,44,2,4,Centrinis,Mūrinis,Įrengtas,68000
Klaipėdos m.,1964,47,2,3,Centrinis,Mūrinis,Įrengtas,49900
Šukaičių k.,2007,120,3,1,Geoterminis,Mūrinis,Įrengtas,67000
Klaipėdos m.,1975,12,1,3,Centrinis,Mūrinis,Įrengtas,17900
Klaipėdos m.,1989,78,3,5,Centrinis,Blokinis,Įrengtas,97000
Klaipėdos m.,1990,79,3,5,Centrinis,Blokinis,Įrengtas,74999
Šiaulių m.,1977,38,2,2,Centrinis,Blokinis,Įrengtas,56200
Naujosios Akmenės m.,1961,"43,64",2,2,Centrinis,Mūrinis,Įrengtas,12900
Rokiškio m.,1978,67,3,3,Centrinis,Blokinis,Įrengtas,54000
Klaipėdos m.,1994,113,4,3,Centriniskolektorinis,Mūrinis,Įrengtas,129000
Mažeikių m.,1986,51,2,3,Centrinis,Blokinis,Įrengtas,43000
Klaipėdos m.,1970,46,2,2,Centrinis,Mūrinis,Įrengtas,65000
Klaipėdos m.,1960,76,3,2,Centrinis,Mūrinis,Įrengtas,170000
Šiaulių m.,2016,42,2,3,Centriniskolektorinis,Kita,Įrengtas,65500
Klaipėdos m.,1980,"35,38",1,6,Centriniskolektorinis,Mūrinis,Įrengtas,63500
Palangos m.,2014,74,2,2,Dujinis,Mūrinis,Įrengtas,112000
Klaipėdos m.,1976,"34,36",2,4,Centrinis,Mūrinis,Įrengtas,35000
Kelmės m.,1976,"34,52",1,5,Kitas,Mūrinis,Įrengtas,17500
Klaipėdos m.,1976,78,3,1,Centriniskolektorinis,Mūrinis,Įrengtas,99000
Klaipėdos m.,1969,52,2,5,Centrinis,Mūrinis,Įrengtas,59000
Naujosios Akmenės m.,1971,48,2,4,Centrinis,Blokinis,Įrengtas,15500
Telšių m.,1972,64,3,5,Centriniskolektorinis,Mūrinis,Įrengtas,55000
Panevėžio m.,1967,"44,36",2,4,Centrinis,Blokinis,Įrengtas,38900
Jonavos m.,1978,52,2,2,Centrinis,Blokinis,Įrengtas,55000
Kauno m.,1963,44,2,4,Centrinis,Mūrinis,Įrengtas,68000
Klaipėdos m.,1964,47,2,3,Centrinis,Mūrinis,Įrengtas,49900
Šukaičių k.,2007,120,3,1,Geoterminis,Mūrinis,Įrengtas,67000
Klaipėdos m.,1975,12,1,3,Centrinis,Mūrinis,Įrengtas,17900
Klaipėdos m.,1989,78,3,5,Centrinis,Blokinis,Įrengtas,97000
Klaipėdos m.,1990,79,3,5,Centrinis,Blokinis,Įrengtas,74999
Šiaulių m.,1977,38,2,2,Centrinis,Blokinis,Įrengtas,56200
Naujosios Akmenės m.,1961,"43,64",2,2,Centrinis,Mūrinis,Įrengtas,12900
Rokiškio m.,1978,67,3,3,Centrinis,Blokinis,Įrengtas,54000
Klaipėdos m.,1994,113,4,3,Centriniskolektorinis,Mūrinis,Įrengtas,129000
Mažeikių m.,1986,51,2,3,Centrinis,Blokinis,Įrengtas,43000
Klaipėdos m.,1970,46,2,2,Centrinis,Mūrinis,Įrengtas,65000
Klaipėdos m.,1960,76,3,2,Centrinis,Mūrinis,Įrengtas,170000
Šiaulių m.,2016,42,2,3,Centriniskolektorinis,Kita,Įrengtas,65500
Klaipėdos m.,1980,"35,38",1,6,Centriniskolektorinis,Mūrinis,Įrengtas,63500
Palangos m.,2014,74,2,2,Dujinis,Mūrinis,Įrengtas,112000
Klaipėdos m.,1976,"34,36",2,4,Centrinis,Mūrinis,Įrengtas,35000
Kelmės m.,1976,"34,52",1,5,Kitas,Mūrinis,Įrengtas,17500
Klaipėdos m.,1976,78,3,1,Centriniskolektorinis,Mūrinis,Įrengtas,99000
Klaipėdos m.,1969,52,2,5,Centrinis,Mūrinis,Įrengtas,59000
Naujosios Akmenės m.,1971,48,2,4,Centrinis,Blokinis,Įrengtas,15500
Telšių m.,1972,64,3,5,Centriniskolektorinis,Mūrinis,Įrengtas,55000
Panevėžio m.,1967,"44,36",2,4,Centrinis,Blokinis,Įrengtas,38900
Jonavos m.,1978,52,2,2,Centrinis,Blokinis,Įrengtas,55000
Kauno m.,1963,44,2,4,Centrinis,Mūrinis,Įrengtas,68000
Klaipėdos m.,1964,47,2,3,Centrinis,Mūrinis,Įrengtas,49900
Šukaičių k.,2007,120,3,1,Geoterminis,Mūrinis,Įrengtas,67000
Klaipėdos m.,1975,12,1,3,Centrinis,Mūrinis,Įrengtas,17900
Klaipėdos m.,1989,78,3,5,Centrinis,Blokinis,Įrengtas,97000
Klaipėdos m.,1990,79,3,5,Centrinis,Blokinis,Įrengtas,74999
Šiaulių m.,1977,38,2,2,Centrinis,Blokinis,Įrengtas,56200
Naujosios Akmenės m.,1961,"43,64",2,2,Centrinis,Mūrinis,Įrengtas,12900
Rokiškio m.,1978,67,3,3,Centrinis,Blokinis,Įrengtas,54000
Klaipėdos m.,1994,113,4,3,Centriniskolektorinis,Mūrinis,Įrengtas,129000
Mažeikių m.,1986,51,2,3,Centrinis,Blokinis,Įrengtas,43000
Klaipėdos m.,1970,46,2,2,Centrinis,Mūrinis,Įrengtas,65000
Klaipėdos m.,1960,76,3,2,Centrinis,Mūrinis,Įrengtas,170000
Šiaulių m.,2016,42,2,3,Centriniskolektorinis,Kita,Įrengtas,65500
Klaipėdos m.,1980,"35,38",1,6,Centriniskolektorinis,Mūrinis,Įrengtas,63500
Palangos m.,2014,74,2,2,Dujinis,Mūrinis,Įrengtas,112000
Klaipėdos m.,1976,"34,36",2,4,Centrinis,Mūrinis,Įrengtas,35000
Kelmės m.,1976,"34,52",1,5,Kitas,Mūrinis,Įrengtas,17500
Klaipėdos m.,1976,78,3,1,Centriniskolektorinis,Mūrinis,Įrengtas,99000
Klaipėdos m.,1969,52,2,5,Centrinis,Mūrinis,Įrengtas,59000
Naujosios Akmenės m.,1971,48,2,4,Centrinis,Blokinis,Įrengtas,15500
Telšių m.,1972,64,3,5,Centriniskolektorinis,Mūrinis,Įrengtas,55000
Panevėžio m.,1967,"44,36",2,4,Centrinis,Blokinis,Įrengtas,38900
Jonavos m.,1978,52,2,2,Centrinis,Blokinis,Įrengtas,55000
Kauno m.,1963,44,2,4,Centrinis,Mūrinis,Įrengtas,68000
Klaipėdos m.,1964,47,2,3,Centrinis,Mūrinis,Įrengtas,49900
Šukaičių k.,2007,120,3,1,Geoterminis,Mūrinis,Įrengtas,67000
Klaipėdos m.,1975,12,1,3,Centrinis,Mūrinis,Įrengtas,17900
Klaipėdos m.,1989,78,3,5,Centrinis,Blokinis,Įrengtas,97000
Klaipėdos m.,1990,79,3,5,Centrinis,Blokinis,Įrengtas,74999
Šiaulių m.,1977,38,2,2,Centrinis,Blokinis,Įrengtas,56200
Naujosios Akmenės m.,1961,"43,64",2,2,Centrinis,Mūrinis,Įrengtas,12900
Rokiškio m.,1978,67,3,3,Centrinis,Blokinis,Įrengtas,54000
Klaipėdos m.,1994,113,4,3,Centriniskolektorinis,Mūrinis,Įrengtas,129000
Mažeikių m.,1986,51,2,3,Centrinis,Blokinis,Įrengtas,43000
Klaipėdos m.,1970,46,2,2,Centrinis,Mūrinis,Įrengtas,65000
Klaipėdos m.,1960,76,3,2,Centrinis,Mūrinis,Įrengtas,170000
Šiaulių m.,2016,42,2,3,Centriniskolektorinis,Kita,Įrengtas,65500
Klaipėdos m.,1980,"35,38",1,6,Centriniskolektorinis,Mūrinis,Įrengtas,63500
Palangos m.,2014,74,2,2,Dujinis,Mūrinis,Įrengtas,112000
Klaipėdos m.,1976,"34,36",2,4,Centrinis,Mūrinis,Įrengtas,35000
Kelmės m.,1976,"34,52",1,5,Kitas,Mūrinis,Įrengtas,17500
Klaipėdos m.,1976,78,3,1,Centriniskolektorinis,Mūrinis,Įrengtas,99000
Klaipėdos m.,1969,52,2,5,Centrinis,Mūrinis,Įrengtas,59000
Naujosios Akmenės m.,1971,48,2,4,Centrinis,Blokinis,Įrengtas,15500
Telšių m.,1972,64,3,5,Centriniskolektorinis,Mūrinis,Įrengtas,55000
Panevėžio m.,1967,"44,36",2,4,Centrinis,Blokinis,Įrengtas,38900
Jonavos m.,1978,52,2,2,Centrinis,Blokinis,Įrengtas,55000
Kauno m.,1963,44,2,4,Centrinis,Mūrinis,Įrengtas,68000
Klaipėdos m.,1964,47,2,3,Centrinis,Mūrinis,Įrengtas,49900
Šukaičių k.,2007,120,3,1,Geoterminis,Mūrinis,Įrengtas,67000
Klaipėdos m.,1975,12,1,3,Centrinis,Mūrinis,Įrengtas,17900
Klaipėdos m.,1990,79,3,5,Centrinis,Blokinis,Įrengtas,74999
Šiaulių m.,1977,38,2,2,Centrinis,Blokinis,Įrengtas,56200
Naujosios Akmenės m.,1961,"43,64",2,2,Centrinis,Mūrinis,Įrengtas,12900
Rokiškio m.,1978,67,3,3,Centrinis,Blokinis,Įrengtas,54000
Klaipėdos m.,1994,113,4,3,Centriniskolektorinis,Mūrinis,Įrengtas,129000
Mažeikių m.,1986,51,2,3,Centrinis,Blokinis,Įrengtas,43000
Klaipėdos m.,1970,46,2,2,Centrinis,Mūrinis,Įrengtas,65000
Klaipėdos m.,1960,76,3,2,Centrinis,Mūrinis,Įrengtas,170000
Šiaulių m.,2016,42,2,3,Centriniskolektorinis,Kita,Įrengtas,65500
Klaipėdos m.,1980,"35,38",1,6,Centriniskolektorinis,Mūrinis,Įrengtas,63500
Palangos m.,2014,74,2,2,Dujinis,Mūrinis,Įrengtas,112000
Klaipėdos m.,1976,"34,36",2,4,Centrinis,Mūrinis,Įrengtas,35000
Kelmės m.,1976,"34,52",1,5,Kitas,Mūrinis,Įrengtas,17500
Klaipėdos m.,1976,78,3,1,Centriniskolektorinis,Mūrinis,Įrengtas,99000
Klaipėdos m.,1969,52,2,5,Centrinis,Mūrinis,Įrengtas,59000
Naujosios Akmenės m.,1971,48,2,4,Centrinis,Blokinis,Įrengtas,15500
Telšių m.,1972,64,3,5,Centriniskolektorinis,Mūrinis,Įrengtas,55000
Panevėžio m.,1967,"44,36",2,4,Centrinis,Blokinis,Įrengtas,38900
Jonavos m.,1978,52,2,2,Centrinis,Blokinis,Įrengtas,55000
Kauno m.,1963,44,2,4,Centrinis,Mūrinis,Įrengtas,68000
Klaipėdos m.,1964,47,2,3,Centrinis,Mūrinis,Įrengtas,49900
Telšių m.,1984,"68,72",3,5,Dujinis,Mūrinis,Įrengtas,64900
Šukaičių k.,2007,120,3,1,Geoterminis,Mūrinis,Įrengtas,67000
Klaipėdos m.,1975,12,1,3,Centrinis,Mūrinis,Įrengtas,17900
Klaipėdos m.,1990,79,3,5,Centrinis,Blokinis,Įrengtas,74999
Šiaulių m.,1977,38,2,2,Centrinis,Blokinis,Įrengtas,56200
Naujosios Akmenės m.,1961,"43,64",2,2,Centrinis,Mūrinis,Įrengtas,12900
Rokiškio m.,1978,67,3,3,Centrinis,Blokinis,Įrengtas,54000
Klaipėdos m.,1994,113,4,3,Centriniskolektorinis,Mūrinis,Įrengtas,129000
Mažeikių m.,1986,51,2,3,Centrinis,Blokinis,Įrengtas,43000
Klaipėdos m.,1970,46,2,2,Centrinis,Mūrinis,Įrengtas,65000
Klaipėdos m.,1960,76,3,2,Centrinis,Mūrinis,Įrengtas,170000
Šiaulių m.,2016,42,2,3,Centriniskolektorinis,Kita,Įrengtas,65500
Klaipėdos m.,1980,"35,38",1,6,Centriniskolektorinis,Mūrinis,Įrengtas,63500
Palangos m.,2014,74,2,2,Dujinis,Mūrinis,Įrengtas,112000
Klaipėdos m.,1976,"34,36",2,4,Centrinis,Mūrinis,Įrengtas,35000
Kelmės m.,1976,"34,52",1,5,Kitas,Mūrinis,Įrengtas,17500
Klaipėdos m.,1976,78,3,1,Centriniskolektorinis,Mūrinis,Įrengtas,99000
Klaipėdos m.,1969,52,2,5,Centrinis,Mūrinis,Įrengtas,59000
Naujosios Akmenės m.,1971,48,2,4,Centrinis,Blokinis,Įrengtas,15500
Telšių m.,1972,64,3,5,Centriniskolektorinis,Mūrinis,Įrengtas,55000
Panevėžio m.,1967,"44,36",2,4,Centrinis,Blokinis,Įrengtas,38900
Jonavos m.,1978,52,2,2,Centrinis,Blokinis,Įrengtas,55000
Kauno m.,1963,44,2,4,Centrinis,Mūrinis,Įrengtas,68000
Klaipėdos m.,1964,47,2,3,Centrinis,Mūrinis,Įrengtas,49900
Telšių m.,1984,"68,72",3,5,Dujinis,Mūrinis,Įrengtas,64900
Šukaičių k.,2007,120,3,1,Geoterminis,Mūrinis,Įrengtas,67000
Klaipėdos m.,1975,12,1,3,Centrinis,Mūrinis,Įrengtas,17900
